,diesel,petrol,location,lat,lon
Adilabad,99.84,111.83,"Adilabad, Telangana, India",19.5,78.5
Agar Malwa,94.89,109.7,"Agar Malwa, Madhya Pradesh, India",23.9342963,76.14523314122312
Agra,89.8,96.63,"Agra, Uttar Pradesh, India",27.1752554,78.0098161
Ahmadnagar,93.03,106.53,"Ahmadnagar, Station Road, माळीवाडा गणपती, Ahmednagar, Maharashtra, 414001, India",19.074352,74.7219979
Ahmedabad,92.17,96.42,"Ahmedabad, Ahmedabad City Taluka, Ahmedabad District, Gujarat, 380001, India",23.0216238,72.5797068
Aizawl,82.18,95.73,"Aizawl, Tlangnuam, Aizwal, Mizoram, 796190, India",23.7435236,92.7382905
Ajmer,93.44,108.17,"Ajmer, Ajmer Tehsil, Ajmer District, Rajasthan, India",26.4691,74.639
Akola,92.69,106.14,"Akola, Maharashtra, India",20.76181225,77.1921156663574
Alappuzha,97.45,108.58,"Alappuzha, Kerala, India",9.5006651,76.41241428564258
Aligarh,89.94,96.79,"Aligarh, Aligarh District, Uttar Pradesh, India",27.833333,78.166667
Alipurduar,93.9,107.26,"Alipurduar, Alipurduar - I, Alipurduar, West Bengal, 736121, India",26.4851573,89.5246926
Alirajpur,95.67,110.57,"Alirajpur, Madhya Pradesh, India",22.285939550000002,74.35389642980134
Allahabad,90.46,97.27,"Prayagraj, Uttar Pradesh, 211001, India",25.4381302,81.8338005
Almora,90.59,95.66,"Almora, Uttarakhand, India",29.703094999999998,79.43317023326716
Alwar,94.41,109.26,"Alwar, Alwar District, Rajasthan, India",27.5,76.5
Ambala,90.29,97.45,"Ambala, Ambala Cantt, Ambala, Haryana, 134002, India",30.3843674,76.770421
Ambedkarnagar,90.69,97.53,"Ambedkarnagar, Kumbakonam, Thanjavur District, Tamil Nadu, 612001, India",10.95114,79.39786
Amethi,90.13,96.95,"Amethi, Uttar Pradesh, India",26.34738315,81.6238783207884
Amravati,93.74,107.23,"Amravati, Maharashtra, India",21.15454115,77.64429617998744
Amreli,93.72,97.95,"Amreli, Gir Somnath District, Gujarat, 362710, India",20.866667,70.75
Amritsar,87.9,97.55,"Amritsar, Amritsar I Tahsil, Amritsar, Punjab, 143001, India",31.6343083,74.8736788
Amroha,90.13,96.96,"Amroha, Jyotiba Phule Nagar, Uttar Pradesh, India",28.9233969,78.48831693262684
Anand,92.34,96.59,"Anand, Anand Taluka, Anand District, Gujarat, 388001, India",22.5586555,72.9627227
Anantapur,99.42,111.66,"Anantapur, Andhra Pradesh, India",14.6546235,77.55625984224562
Anantnag,85.97,100.8,"Anantnag, Anantnag district, Jammu and Kashmir, India",33.7368773,75.1455138
Angul,96.37,104.86,"Angul, Anugul, Odisha, 759122, India",20.8382426,85.0973949
Anupur,96.16,111.1,"Sub Centre, Anupur, SH11, Vemulawada, Karimnagar mandal, Rajanna Sircilla, Telangana, 505302, India",18.4237689,78.874189
Araria,95.88,109.23,"Araria, Bihar, India",26.26498795,87.37162648106798
Aravalli,92.91,97.16,"Aravalli, Attili, West Godavari, Andhra Pradesh, 534209, India",16.6299629,81.6057455
Ariyalur,95.08,103.45,"Ariyalur, Ariyalur District, Tamil Nadu, India",11.076035950000001,79.11745538182738
Arwal,94.57,107.81,"Arwal, Bihar, India",25.180777149999997,84.65920203021554
Ashoknagar,93.94,108.71,"Ashoknagar, Ashoknagar Tahsil, Ashok Nagar, Madhya Pradesh, 473331, India",24.576189,77.7302895
Auraiya,90.13,96.96,"Auraiya, Uttar Pradesh, India",26.65573395,79.51504701181831
Aurangabad,95.07,108.35,"Aurangabad, Aurangabad District, Bihar, India",24.786306,84.41448983395554
